user_term,standard_symptom,language
feeling eye pain,eye_pain,English
mild eye pain,eye_pain,English
i have eye pain,eye_pain,English
suffering from i have eye pain,eye_pain,English
feeling i have eye pain,eye_pain,English
mild i have eye pain,eye_pain,English
severe eye pain,eye_pain,English
suffering from severe eye pain,eye_pain,English
feeling severe eye pain,eye_pain,English
mild severe eye pain,eye_pain,English
eye paining,eye_pain,English
suffering from eye paining,eye_pain,English
feeling eye paining,eye_pain,English
mild eye paining,eye_pain,English
eyepain,eye_pain,English
suffering from eyepain,eye_pain,English
feeling eyepain,eye_pain,English
mild eyepain,eye_pain,English
eye दर्द,eye_pain,Hindi
मुझे eye दर्द महसूस हो रहा है,eye_pain,Hindi
लगातार eye दर्द,eye_pain,Hindi
मुझे eye दर्द है,eye_pain,Hindi
मुझे मुझे eye दर्द है महसूस हो रहा है,eye_pain,Hindi
लगातार मुझे eye दर्द है,eye_pain,Hindi
बहुत तेज eye दर्द,eye_pain,Hindi
मुझे बहुत तेज eye दर्द महसूस हो रहा है,eye_pain,Hindi
लगातार बहुत तेज eye दर्द,eye_pain,Hindi
eye दर्द की शिकायत है,eye_pain,Hindi
मुझे eye दर्द की शिकायत है महसूस हो रहा है,eye_pain,Hindi
लगातार eye दर्द की शिकायत है,eye_pain,Hindi
eye dard,eye_pain,Hinglish
sir mujhe eye dard ho gaya hai,eye_pain,Hinglish
eye dard ki problem hai,eye_pain,Hinglish
bhaiya eye dard thik nhi ho rha,eye_pain,Hinglish
mujhe eye dard hai,eye_pain,Hinglish
sir mujhe mujhe eye dard hai ho gaya hai,eye_pain,Hinglish
mujhe eye dard hai ki problem hai,eye_pain,Hinglish
bhaiya mujhe eye dard hai thik nhi ho rha,eye_pain,Hinglish
bahut jyada eye dard,eye_pain,Hinglish
sir mujhe bahut jyada eye dard ho gaya hai,eye_pain,Hinglish
bahut jyada eye dard ki problem hai,eye_pain,Hinglish
bhaiya bahut jyada eye dard thik nhi ho rha,eye_pain,Hinglish
eye dard ho rha h,eye_pain,Hinglish
sir mujhe eye dard ho rha h ho gaya hai,eye_pain,Hinglish
eye dard ho rha h ki problem hai,eye_pain,Hinglish
bhaiya eye dard ho rha h thik nhi ho rha,eye_pain,Hinglish
eye dard h,eye_pain,Hinglish
sir mujhe eye dard h ho gaya hai,eye_pain,Hinglish
eye dard h ki problem hai,eye_pain,Hinglish
bhaiya eye dard h thik nhi ho rha,eye_pain,Hinglish
eye में दरद बा,eye_pain,Bhojpuri
हमरा के eye में दरद बा बा,eye_pain,Bhojpuri
परेशान बानी eye में दरद बा से,eye_pain,Bhojpuri
हमरा eye में दरद बा,eye_pain,Bhojpuri
हमरा के हमरा eye में दरद बा बा,eye_pain,Bhojpuri
परेशान बानी हमरा eye में दरद बा से,eye_pain,Bhojpuri
देहिया में eye में दरद बा,eye_pain,Bhojpuri
हमरा के देहिया में eye में दरद बा बा,eye_pain,Bhojpuri
परेशान बानी देहिया में eye में दरद बा से,eye_pain,Bhojpuri
बहुत बेसी eye में दरद बा,eye_pain,Bhojpuri
हमरा के बहुत बेसी eye में दरद बा बा,eye_pain,Bhojpuri
परेशान बानी बहुत बेसी eye में दरद बा से,eye_pain,Bhojpuri
eye me darad ba,eye_pain,Roman Bhojpuri
hamra ke eye me darad ba,eye_pain,Roman Bhojpuri
babuji ke eye me darad ba,eye_pain,Roman Bhojpuri
deh me eye me darad ba lagta,eye_pain,Roman Bhojpuri
hamra eye me darad ba,eye_pain,Roman Bhojpuri
hamra ke hamra eye me darad ba,eye_pain,Roman Bhojpuri
babuji ke hamra eye me darad ba,eye_pain,Roman Bhojpuri
deh me hamra eye me darad ba lagta,eye_pain,Roman Bhojpuri
dehiya me eye me darad ba,eye_pain,Roman Bhojpuri
hamra ke dehiya me eye me darad ba,eye_pain,Roman Bhojpuri
babuji ke dehiya me eye me darad ba,eye_pain,Roman Bhojpuri
deh me dehiya me eye me darad ba lagta,eye_pain,Roman Bhojpuri
bahut besi eye me darad ba,eye_pain,Roman Bhojpuri
hamra ke bahut besi eye me darad ba,eye_pain,Roman Bhojpuri
babuji ke bahut besi eye me darad ba,eye_pain,Roman Bhojpuri
deh me bahut besi eye me darad ba lagta,eye_pain,Roman Bhojpuri
man thik naikhe eye me darad ba,eye_pain,Roman Bhojpuri
hamra ke man thik naikhe eye me darad ba,eye_pain,Roman Bhojpuri
babuji ke man thik naikhe eye me darad ba,eye_pain,Roman Bhojpuri
deh me man thik naikhe eye me darad ba lagta,eye_pain,Roman Bhojpuri
blurred vision,blurred_vision,English
suffering from blurred vision,blurred_vision,English
feeling blurred vision,blurred_vision,English
mild blurred vision,blurred_vision,English
i have blurred vision,blurred_vision,English
suffering from i have blurred vision,blurred_vision,English
feeling i have blurred vision,blurred_vision,English
mild i have blurred vision,blurred_vision,English
severe blurred vision,blurred_vision,English
suffering from severe blurred vision,blurred_vision,English
feeling severe blurred vision,blurred_vision,English
mild severe blurred vision,blurred_vision,English
blurred visioning,blurred_vision,English
suffering from blurred visioning,blurred_vision,English
feeling blurred visioning,blurred_vision,English
mild blurred visioning,blurred_vision,English
blurredvision,blurred_vision,English
suffering from blurredvision,blurred_vision,English
feeling blurredvision,blurred_vision,English
mild blurredvision,blurred_vision,English
मुझे blurred vision महसूस हो रहा है,blurred_vision,Hindi
लगातार blurred vision,blurred_vision,Hindi
मुझे blurred vision है,blurred_vision,Hindi
मुझे मुझे blurred vision है महसूस हो रहा है,blurred_vision,Hindi
लगातार मुझे blurred vision है,blurred_vision,Hindi
बहुत तेज blurred vision,blurred_vision,Hindi
मुझे बहुत तेज blurred vision महसूस हो रहा है,blurred_vision,Hindi
लगातार बहुत तेज blurred vision,blurred_vision,Hindi
blurred vision की शिकायत है,blurred_vision,Hindi
मुझे blurred vision की शिकायत है महसूस हो रहा है,blurred_vision,Hindi
लगातार blurred vision की शिकायत है,blurred_vision,Hindi
sir mujhe blurred vision ho gaya hai,blurred_vision,Hinglish
blurred vision ki problem hai,blurred_vision,Hinglish
bhaiya blurred vision thik nhi ho rha,blurred_vision,Hinglish
mujhe blurred vision hai,blurred_vision,Hinglish
sir mujhe mujhe blurred vision hai ho gaya hai,blurred_vision,Hinglish
mujhe blurred vision hai ki problem hai,blurred_vision,Hinglish
bhaiya mujhe blurred vision hai thik nhi ho rha,blurred_vision,Hinglish
bahut jyada blurred vision,blurred_vision,Hinglish
sir mujhe bahut jyada blurred vision ho gaya hai,blurred_vision,Hinglish
bahut jyada blurred vision ki problem hai,blurred_vision,Hinglish
bhaiya bahut jyada blurred vision thik nhi ho rha,blurred_vision,Hinglish
blurred vision ho rha h,blurred_vision,Hinglish
sir mujhe blurred vision ho rha h ho gaya hai,blurred_vision,Hinglish
blurred vision ho rha h ki problem hai,blurred_vision,Hinglish
bhaiya blurred vision ho rha h thik nhi ho rha,blurred_vision,Hinglish
blurred vision h,blurred_vision,Hinglish
sir mujhe blurred vision h ho gaya hai,blurred_vision,Hinglish
blurred vision h ki problem hai,blurred_vision,Hinglish
bhaiya blurred vision h thik nhi ho rha,blurred_vision,Hinglish
blurred vision बा,blurred_vision,Bhojpuri
हमरा के blurred vision बा बा,blurred_vision,Bhojpuri
परेशान बानी blurred vision बा से,blurred_vision,Bhojpuri
हमरा blurred vision बा,blurred_vision,Bhojpuri
हमरा के हमरा blurred vision बा बा,blurred_vision,Bhojpuri
परेशान बानी हमरा blurred vision बा से,blurred_vision,Bhojpuri
देहिया में blurred vision बा,blurred_vision,Bhojpuri
हमरा के देहिया में blurred vision बा बा,blurred_vision,Bhojpuri
परेशान बानी देहिया में blurred vision बा से,blurred_vision,Bhojpuri
बहुत बेसी blurred vision बा,blurred_vision,Bhojpuri
हमरा के बहुत बेसी blurred vision बा बा,blurred_vision,Bhojpuri
परेशान बानी बहुत बेसी blurred vision बा से,blurred_vision,Bhojpuri
blurred vision ba,blurred_vision,Roman Bhojpuri
hamra ke blurred vision ba,blurred_vision,Roman Bhojpuri
babuji ke blurred vision ba,blurred_vision,Roman Bhojpuri
deh me blurred vision ba lagta,blurred_vision,Roman Bhojpuri
hamra blurred vision ba,blurred_vision,Roman Bhojpuri
hamra ke hamra blurred vision ba,blurred_vision,Roman Bhojpuri
babuji ke hamra blurred vision ba,blurred_vision,Roman Bhojpuri
deh me hamra blurred vision ba lagta,blurred_vision,Roman Bhojpuri
dehiya me blurred vision ba,blurred_vision,Roman Bhojpuri
hamra ke dehiya me blurred vision ba,blurred_vision,Roman Bhojpuri
babuji ke dehiya me blurred vision ba,blurred_vision,Roman Bhojpuri
deh me dehiya me blurred vision ba lagta,blurred_vision,Roman Bhojpuri
bahut besi blurred vision ba,blurred_vision,Roman Bhojpuri
hamra ke bahut besi blurred vision ba,blurred_vision,Roman Bhojpuri
babuji ke bahut besi blurred vision ba,blurred_vision,Roman Bhojpuri
deh me bahut besi blurred vision ba lagta,blurred_vision,Roman Bhojpuri
man thik naikhe blurred vision ba,blurred_vision,Roman Bhojpuri
hamra ke man thik naikhe blurred vision ba,blurred_vision,Roman Bhojpuri
babuji ke man thik naikhe blurred vision ba,blurred_vision,Roman Bhojpuri
deh me man thik naikhe blurred vision ba lagta,blurred_vision,Roman Bhojpuri
frequent urination,frequent_urination,English
suffering from frequent urination,frequent_urination,English
feeling frequent urination,frequent_urination,English
mild frequent urination,frequent_urination,English
i have frequent urination,frequent_urination,English
suffering from i have frequent urination,frequent_urination,English
feeling i have frequent urination,frequent_urination,English
mild i have frequent urination,frequent_urination,English
severe frequent urination,frequent_urination,English
suffering from severe frequent urination,frequent_urination,English
feeling severe frequent urination,frequent_urination,English
mild severe frequent urination,frequent_urination,English
frequent urinationing,frequent_urination,English
suffering from frequent urinationing,frequent_urination,English
feeling frequent urinationing,frequent_urination,English
mild frequent urinationing,frequent_urination,English
frequenturination,frequent_urination,English
suffering from frequenturination,frequent_urination,English
feeling frequenturination,frequent_urination,English
mild frequenturination,frequent_urination,English
मुझे frequent urination महसूस हो रहा है,frequent_urination,Hindi
लगातार frequent urination,frequent_urination,Hindi
मुझे frequent urination है,frequent_urination,Hindi
मुझे मुझे frequent urination है महसूस हो रहा है,frequent_urination,Hindi
लगातार मुझे frequent urination है,frequent_urination,Hindi
बहुत तेज frequent urination,frequent_urination,Hindi
मुझे बहुत तेज frequent urination महसूस हो रहा है,frequent_urination,Hindi
लगातार बहुत तेज frequent urination,frequent_urination,Hindi
frequent urination की शिकायत है,frequent_urination,Hindi
मुझे frequent urination की शिकायत है महसूस हो रहा है,frequent_urination,Hindi
लगातार frequent urination की शिकायत है,frequent_urination,Hindi
sir mujhe frequent urination ho gaya hai,frequent_urination,Hinglish
frequent urination ki problem hai,frequent_urination,Hinglish
bhaiya frequent urination thik nhi ho rha,frequent_urination,Hinglish
mujhe frequent urination hai,frequent_urination,Hinglish
sir mujhe mujhe frequent urination hai ho gaya hai,frequent_urination,Hinglish
mujhe frequent urination hai ki problem hai,frequent_urination,Hinglish
bhaiya mujhe frequent urination hai thik nhi ho rha,frequent_urination,Hinglish
bahut jyada frequent urination,frequent_urination,Hinglish
sir mujhe bahut jyada frequent urination ho gaya hai,frequent_urination,Hinglish
bahut jyada frequent urination ki problem hai,frequent_urination,Hinglish
bhaiya bahut jyada frequent urination thik nhi ho rha,frequent_urination,Hinglish
frequent urination ho rha h,frequent_urination,Hinglish
sir mujhe frequent urination ho rha h ho gaya hai,frequent_urination,Hinglish
frequent urination ho rha h ki problem hai,frequent_urination,Hinglish
bhaiya frequent urination ho rha h thik nhi ho rha,frequent_urination,Hinglish
frequent urination h,frequent_urination,Hinglish
sir mujhe frequent urination h ho gaya hai,frequent_urination,Hinglish
frequent urination h ki problem hai,frequent_urination,Hinglish
bhaiya frequent urination h thik nhi ho rha,frequent_urination,Hinglish
frequent urination बा,frequent_urination,Bhojpuri
हमरा के frequent urination बा बा,frequent_urination,Bhojpuri
परेशान बानी frequent urination बा से,frequent_urination,Bhojpuri
हमरा frequent urination बा,frequent_urination,Bhojpuri
हमरा के हमरा frequent urination बा बा,frequent_urination,Bhojpuri
परेशान बानी हमरा frequent urination बा से,frequent_urination,Bhojpuri
देहिया में frequent urination बा,frequent_urination,Bhojpuri
हमरा के देहिया में frequent urination बा बा,frequent_urination,Bhojpuri
परेशान बानी देहिया में frequent urination बा से,frequent_urination,Bhojpuri
बहुत बेसी frequent urination बा,frequent_urination,Bhojpuri
हमरा के बहुत बेसी frequent urination बा बा,frequent_urination,Bhojpuri
परेशान बानी बहुत बेसी frequent urination बा से,frequent_urination,Bhojpuri
frequent urination ba,frequent_urination,Roman Bhojpuri
hamra ke frequent urination ba,frequent_urination,Roman Bhojpuri
babuji ke frequent urination ba,frequent_urination,Roman Bhojpuri
deh me frequent urination ba lagta,frequent_urination,Roman Bhojpuri
hamra frequent urination ba,frequent_urination,Roman Bhojpuri
hamra ke hamra frequent urination ba,frequent_urination,Roman Bhojpuri
babuji ke hamra frequent urination ba,frequent_urination,Roman Bhojpuri
deh me hamra frequent urination ba lagta,frequent_urination,Roman Bhojpuri
dehiya me frequent urination ba,frequent_urination,Roman Bhojpuri
hamra ke dehiya me frequent urination ba,frequent_urination,Roman Bhojpuri
babuji ke dehiya me frequent urination ba,frequent_urination,Roman Bhojpuri
deh me dehiya me frequent urination ba lagta,frequent_urination,Roman Bhojpuri
bahut besi frequent urination ba,frequent_urination,Roman Bhojpuri
hamra ke bahut besi frequent urination ba,frequent_urination,Roman Bhojpuri
babuji ke bahut besi frequent urination ba,frequent_urination,Roman Bhojpuri
deh me bahut besi frequent urination ba lagta,frequent_urination,Roman Bhojpuri
man thik naikhe frequent urination ba,frequent_urination,Roman Bhojpuri
hamra ke man thik naikhe frequent urination ba,frequent_urination,Roman Bhojpuri
babuji ke man thik naikhe frequent urination ba,frequent_urination,Roman Bhojpuri
deh me man thik naikhe frequent urination ba lagta,frequent_urination,Roman Bhojpuri
burning urination,burning_urination,English
suffering from burning urination,burning_urination,English
feeling burning urination,burning_urination,English
mild burning urination,burning_urination,English
i have burning urination,burning_urination,English
suffering from i have burning urination,burning_urination,English
feeling i have burning urination,burning_urination,English
mild i have burning urination,burning_urination,English
severe burning urination,burning_urination,English
suffering from severe burning urination,burning_urination,English
feeling severe burning urination,burning_urination,English
mild severe burning urination,burning_urination,English
burning urinationing,burning_urination,English
suffering from burning urinationing,burning_urination,English
feeling burning urinationing,burning_urination,English
mild burning urinationing,burning_urination,English
burningurination,burning_urination,English
suffering from burningurination,burning_urination,English
feeling burningurination,burning_urination,English
mild burningurination,burning_urination,English
मुझे burning urination महसूस हो रहा है,burning_urination,Hindi
लगातार burning urination,burning_urination,Hindi
मुझे burning urination है,burning_urination,Hindi
मुझे मुझे burning urination है महसूस हो रहा है,burning_urination,Hindi
लगातार मुझे burning urination है,burning_urination,Hindi
बहुत तेज burning urination,burning_urination,Hindi
मुझे बहुत तेज burning urination महसूस हो रहा है,burning_urination,Hindi
लगातार बहुत तेज burning urination,burning_urination,Hindi
burning urination की शिकायत है,burning_urination,Hindi
मुझे burning urination की शिकायत है महसूस हो रहा है,burning_urination,Hindi
लगातार burning urination की शिकायत है,burning_urination,Hindi
sir mujhe burning urination ho gaya hai,burning_urination,Hinglish
burning urination ki problem hai,burning_urination,Hinglish
bhaiya burning urination thik nhi ho rha,burning_urination,Hinglish
mujhe burning urination hai,burning_urination,Hinglish
sir mujhe mujhe burning urination hai ho gaya hai,burning_urination,Hinglish
mujhe burning urination hai ki problem hai,burning_urination,Hinglish
bhaiya mujhe burning urination hai thik nhi ho rha,burning_urination,Hinglish
bahut jyada burning urination,burning_urination,Hinglish
sir mujhe bahut jyada burning urination ho gaya hai,burning_urination,Hinglish
bahut jyada burning urination ki problem hai,burning_urination,Hinglish
bhaiya bahut jyada burning urination thik nhi ho rha,burning_urination,Hinglish
burning urination ho rha h,burning_urination,Hinglish
sir mujhe burning urination ho rha h ho gaya hai,burning_urination,Hinglish
burning urination ho rha h ki problem hai,burning_urination,Hinglish
bhaiya burning urination ho rha h thik nhi ho rha,burning_urination,Hinglish
burning urination h,burning_urination,Hinglish
sir mujhe burning urination h ho gaya hai,burning_urination,Hinglish
burning urination h ki problem hai,burning_urination,Hinglish
bhaiya burning urination h thik nhi ho rha,burning_urination,Hinglish
burning urination बा,burning_urination,Bhojpuri
हमरा के burning urination बा बा,burning_urination,Bhojpuri
परेशान बानी burning urination बा से,burning_urination,Bhojpuri
हमरा burning urination बा,burning_urination,Bhojpuri
हमरा के हमरा burning urination बा बा,burning_urination,Bhojpuri
परेशान बानी हमरा burning urination बा से,burning_urination,Bhojpuri
देहिया में burning urination बा,burning_urination,Bhojpuri
हमरा के देहिया में burning urination बा बा,burning_urination,Bhojpuri
परेशान बानी देहिया में burning urination बा से,burning_urination,Bhojpuri
बहुत बेसी burning urination बा,burning_urination,Bhojpuri
हमरा के बहुत बेसी burning urination बा बा,burning_urination,Bhojpuri
परेशान बानी बहुत बेसी burning urination बा से,burning_urination,Bhojpuri
burning urination ba,burning_urination,Roman Bhojpuri
hamra ke burning urination ba,burning_urination,Roman Bhojpuri
babuji ke burning urination ba,burning_urination,Roman Bhojpuri
deh me burning urination ba lagta,burning_urination,Roman Bhojpuri
hamra burning urination ba,burning_urination,Roman Bhojpuri
hamra ke hamra burning urination ba,burning_urination,Roman Bhojpuri
babuji ke hamra burning urination ba,burning_urination,Roman Bhojpuri
deh me hamra burning urination ba lagta,burning_urination,Roman Bhojpuri
dehiya me burning urination ba,burning_urination,Roman Bhojpuri
hamra ke dehiya me burning urination ba,burning_urination,Roman Bhojpuri
babuji ke dehiya me burning urination ba,burning_urination,Roman Bhojpuri
deh me dehiya me burning urination ba lagta,burning_urination,Roman Bhojpuri
bahut besi burning urination ba,burning_urination,Roman Bhojpuri
hamra ke bahut besi burning urination ba,burning_urination,Roman Bhojpuri
babuji ke bahut besi burning urination ba,burning_urination,Roman Bhojpuri
deh me bahut besi burning urination ba lagta,burning_urination,Roman Bhojpuri
man thik naikhe burning urination ba,burning_urination,Roman Bhojpuri
hamra ke man thik naikhe burning urination ba,burning_urination,Roman Bhojpuri
babuji ke man thik naikhe burning urination ba,burning_urination,Roman Bhojpuri
deh me man thik naikhe burning urination ba lagta,burning_urination,Roman Bhojpuri
blood in urine,blood_in_urine,English
suffering from blood in urine,blood_in_urine,English
feeling blood in urine,blood_in_urine,English
mild blood in urine,blood_in_urine,English
i have blood in urine,blood_in_urine,English
suffering from i have blood in urine,blood_in_urine,English
feeling i have blood in urine,blood_in_urine,English
mild i have blood in urine,blood_in_urine,English
severe blood in urine,blood_in_urine,English
suffering from severe blood in urine,blood_in_urine,English
feeling severe blood in urine,blood_in_urine,English
mild severe blood in urine,blood_in_urine,English
blood in urineing,blood_in_urine,English
suffering from blood in urineing,blood_in_urine,English
feeling blood in urineing,blood_in_urine,English
mild blood in urineing,blood_in_urine,English
bloodinurine,blood_in_urine,English
suffering from bloodinurine,blood_in_urine,English
feeling bloodinurine,blood_in_urine,English
mild bloodinurine,blood_in_urine,English
मुझे blood in urine महसूस हो रहा है,blood_in_urine,Hindi
लगातार blood in urine,blood_in_urine,Hindi
मुझे blood in urine है,blood_in_urine,Hindi
मुझे मुझे blood in urine है महसूस हो रहा है,blood_in_urine,Hindi
लगातार मुझे blood in urine है,blood_in_urine,Hindi
बहुत तेज blood in urine,blood_in_urine,Hindi
मुझे बहुत तेज blood in urine महसूस हो रहा है,blood_in_urine,Hindi
लगातार बहुत तेज blood in urine,blood_in_urine,Hindi
blood in urine की शिकायत है,blood_in_urine,Hindi
मुझे blood in urine की शिकायत है महसूस हो रहा है,blood_in_urine,Hindi
लगातार blood in urine की शिकायत है,blood_in_urine,Hindi
sir mujhe blood in urine ho gaya hai,blood_in_urine,Hinglish
blood in urine ki problem hai,blood_in_urine,Hinglish
bhaiya blood in urine thik nhi ho rha,blood_in_urine,Hinglish
mujhe blood in urine hai,blood_in_urine,Hinglish
sir mujhe mujhe blood in urine hai ho gaya hai,blood_in_urine,Hinglish
mujhe blood in urine hai ki problem hai,blood_in_urine,Hinglish
bhaiya mujhe blood in urine hai thik nhi ho rha,blood_in_urine,Hinglish
bahut jyada blood in urine,blood_in_urine,Hinglish
sir mujhe bahut jyada blood in urine ho gaya hai,blood_in_urine,Hinglish
bahut jyada blood in urine ki problem hai,blood_in_urine,Hinglish
bhaiya bahut jyada blood in urine thik nhi ho rha,blood_in_urine,Hinglish
blood in urine ho rha h,blood_in_urine,Hinglish
sir mujhe blood in urine ho rha h ho gaya hai,blood_in_urine,Hinglish
blood in urine ho rha h ki problem hai,blood_in_urine,Hinglish
bhaiya blood in urine ho rha h thik nhi ho rha,blood_in_urine,Hinglish
blood in urine h,blood_in_urine,Hinglish
sir mujhe blood in urine h ho gaya hai,blood_in_urine,Hinglish
blood in urine h ki problem hai,blood_in_urine,Hinglish
bhaiya blood in urine h thik nhi ho rha,blood_in_urine,Hinglish
blood in urine बा,blood_in_urine,Bhojpuri
हमरा के blood in urine बा बा,blood_in_urine,Bhojpuri
परेशान बानी blood in urine बा से,blood_in_urine,Bhojpuri
हमरा blood in urine बा,blood_in_urine,Bhojpuri
हमरा के हमरा blood in urine बा बा,blood_in_urine,Bhojpuri
परेशान बानी हमरा blood in urine बा से,blood_in_urine,Bhojpuri
देहिया में blood in urine बा,blood_in_urine,Bhojpuri
हमरा के देहिया में blood in urine बा बा,blood_in_urine,Bhojpuri
परेशान बानी देहिया में blood in urine बा से,blood_in_urine,Bhojpuri
बहुत बेसी blood in urine बा,blood_in_urine,Bhojpuri
हमरा के बहुत बेसी blood in urine बा बा,blood_in_urine,Bhojpuri
परेशान बानी बहुत बेसी blood in urine बा से,blood_in_urine,Bhojpuri
blood in urine ba,blood_in_urine,Roman Bhojpuri
hamra ke blood in urine ba,blood_in_urine,Roman Bhojpuri
babuji ke blood in urine ba,blood_in_urine,Roman Bhojpuri
deh me blood in urine ba lagta,blood_in_urine,Roman Bhojpuri
hamra blood in urine ba,blood_in_urine,Roman Bhojpuri
hamra ke hamra blood in urine ba,blood_in_urine,Roman Bhojpuri
babuji ke hamra blood in urine ba,blood_in_urine,Roman Bhojpuri
deh me hamra blood in urine ba lagta,blood_in_urine,Roman Bhojpuri
dehiya me blood in urine ba,blood_in_urine,Roman Bhojpuri
hamra ke dehiya me blood in urine ba,blood_in_urine,Roman Bhojpuri
babuji ke dehiya me blood in urine ba,blood_in_urine,Roman Bhojpuri
deh me dehiya me blood in urine ba lagta,blood_in_urine,Roman Bhojpuri
bahut besi blood in urine ba,blood_in_urine,Roman Bhojpuri
hamra ke bahut besi blood in urine ba,blood_in_urine,Roman Bhojpuri
babuji ke bahut besi blood in urine ba,blood_in_urine,Roman Bhojpuri
deh me bahut besi blood in urine ba lagta,blood_in_urine,Roman Bhojpuri
man thik naikhe blood in urine ba,blood_in_urine,Roman Bhojpuri
hamra ke man thik naikhe blood in urine ba,blood_in_urine,Roman Bhojpuri
babuji ke man thik naikhe blood in urine ba,blood_in_urine,Roman Bhojpuri
deh me man thik naikhe blood in urine ba lagta,blood_in_urine,Roman Bhojpuri
yellow skin,yellow_skin,English
suffering from yellow skin,yellow_skin,English
feeling yellow skin,yellow_skin,English
mild yellow skin,yellow_skin,English
i have yellow skin,yellow_skin,English
suffering from i have yellow skin,yellow_skin,English
feeling i have yellow skin,yellow_skin,English
mild i have yellow skin,yellow_skin,English
severe yellow skin,yellow_skin,English
suffering from severe yellow skin,yellow_skin,English
feeling severe yellow skin,yellow_skin,English
mild severe yellow skin,yellow_skin,English
yellow skining,yellow_skin,English
suffering from yellow skining,yellow_skin,English
feeling yellow skining,yellow_skin,English
mild yellow skining,yellow_skin,English
yellowskin,yellow_skin,English
suffering from yellowskin,yellow_skin,English
feeling yellowskin,yellow_skin,English
mild yellowskin,yellow_skin,English
मुझे yellow skin महसूस हो रहा है,yellow_skin,Hindi
लगातार yellow skin,yellow_skin,Hindi
मुझे yellow skin है,yellow_skin,Hindi
मुझे मुझे yellow skin है महसूस हो रहा है,yellow_skin,Hindi
लगातार मुझे yellow skin है,yellow_skin,Hindi
बहुत तेज yellow skin,yellow_skin,Hindi
मुझे बहुत तेज yellow skin महसूस हो रहा है,yellow_skin,Hindi
लगातार बहुत तेज yellow skin,yellow_skin,Hindi
yellow skin की शिकायत है,yellow_skin,Hindi
मुझे yellow skin की शिकायत है महसूस हो रहा है,yellow_skin,Hindi
लगातार yellow skin की शिकायत है,yellow_skin,Hindi
sir mujhe yellow skin ho gaya hai,yellow_skin,Hinglish
yellow skin ki problem hai,yellow_skin,Hinglish
bhaiya yellow skin thik nhi ho rha,yellow_skin,Hinglish
mujhe yellow skin hai,yellow_skin,Hinglish
sir mujhe mujhe yellow skin hai ho gaya hai,yellow_skin,Hinglish
mujhe yellow skin hai ki problem hai,yellow_skin,Hinglish
bhaiya mujhe yellow skin hai thik nhi ho rha,yellow_skin,Hinglish
bahut jyada yellow skin,yellow_skin,Hinglish
sir mujhe bahut jyada yellow skin ho gaya hai,yellow_skin,Hinglish
bahut jyada yellow skin ki problem hai,yellow_skin,Hinglish
bhaiya bahut jyada yellow skin thik nhi ho rha,yellow_skin,Hinglish
yellow skin ho rha h,yellow_skin,Hinglish
sir mujhe yellow skin ho rha h ho gaya hai,yellow_skin,Hinglish
yellow skin ho rha h ki problem hai,yellow_skin,Hinglish
bhaiya yellow skin ho rha h thik nhi ho rha,yellow_skin,Hinglish
yellow skin h,yellow_skin,Hinglish
sir mujhe yellow skin h ho gaya hai,yellow_skin,Hinglish
yellow skin h ki problem hai,yellow_skin,Hinglish
bhaiya yellow skin h thik nhi ho rha,yellow_skin,Hinglish
yellow skin बा,yellow_skin,Bhojpuri
हमरा के yellow skin बा बा,yellow_skin,Bhojpuri
परेशान बानी yellow skin बा से,yellow_skin,Bhojpuri
हमरा yellow skin बा,yellow_skin,Bhojpuri
हमरा के हमरा yellow skin बा बा,yellow_skin,Bhojpuri
परेशान बानी हमरा yellow skin बा से,yellow_skin,Bhojpuri
देहिया में yellow skin बा,yellow_skin,Bhojpuri
हमरा के देहिया में yellow skin बा बा,yellow_skin,Bhojpuri
परेशान बानी देहिया में yellow skin बा से,yellow_skin,Bhojpuri
बहुत बेसी yellow skin बा,yellow_skin,Bhojpuri
हमरा के बहुत बेसी yellow skin बा बा,yellow_skin,Bhojpuri
परेशान बानी बहुत बेसी yellow skin बा से,yellow_skin,Bhojpuri
yellow skin ba,yellow_skin,Roman Bhojpuri
hamra ke yellow skin ba,yellow_skin,Roman Bhojpuri
babuji ke yellow skin ba,yellow_skin,Roman Bhojpuri
deh me yellow skin ba lagta,yellow_skin,Roman Bhojpuri
hamra yellow skin ba,yellow_skin,Roman Bhojpuri
hamra ke hamra yellow skin ba,yellow_skin,Roman Bhojpuri
babuji ke hamra yellow skin ba,yellow_skin,Roman Bhojpuri
deh me hamra yellow skin ba lagta,yellow_skin,Roman Bhojpuri
dehiya me yellow skin ba,yellow_skin,Roman Bhojpuri
hamra ke dehiya me yellow skin ba,yellow_skin,Roman Bhojpuri
babuji ke dehiya me yellow skin ba,yellow_skin,Roman Bhojpuri
deh me dehiya me yellow skin ba lagta,yellow_skin,Roman Bhojpuri
bahut besi yellow skin ba,yellow_skin,Roman Bhojpuri
hamra ke bahut besi yellow skin ba,yellow_skin,Roman Bhojpuri
babuji ke bahut besi yellow skin ba,yellow_skin,Roman Bhojpuri
deh me bahut besi yellow skin ba lagta,yellow_skin,Roman Bhojpuri
man thik naikhe yellow skin ba,yellow_skin,Roman Bhojpuri
hamra ke man thik naikhe yellow skin ba,yellow_skin,Roman Bhojpuri
babuji ke man thik naikhe yellow skin ba,yellow_skin,Roman Bhojpuri
deh me man thik naikhe yellow skin ba lagta,yellow_skin,Roman Bhojpuri
hair loss,hair_loss,English
